scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,2026,sparse_lasso_n5,type1_error,300,,,,0.05333333333333334,0.003333333333333334,16,300,118.17314219474792
seed,2026,sparse_lasso_n5,type1_error,500,,,,0.058,0.008,29,500,195.28721714019775
seed,2026,sparse_lasso_n5,type1_error,1000,,,,0.049,-0.0010000000000000009,49,1000,351.7235417366028
seed,2026,sparse_lasso_n5,type1_error,2000,,,,0.051,0.000999999999999994,102,2000,700.0924518108368
seed,2026,sparse_lasso_n5,power,500,0.05,0.05,0.05000000000000002,0.054,,27,500,194.53662014007568
seed,2026,sparse_lasso_n5,power,500,0.1,0.1,0.10000000000000003,0.096,,48,500,209.28609323501587
seed,2026,sparse_lasso_n5,power,500,0.15,0.15,0.15,0.192,,96,500,196.24014472961426
seed,2026,sparse_lasso_n5,power,500,0.2,0.2,0.20000000000000007,0.29,,145,500,187.85253930091858
seed,2026,sparse_lasso_n5,power,500,0.3,0.3,0.3,0.716,,358,500,201.7204532623291
seed,2026,sparse_lasso_n5,power,500,0.5,0.5,0.5,1.0,,500,500,192.68733525276184
seed,2026,sparse_lasso_n10,type1_error,50,,,,0.02,-0.030000000000000002,1,50,31.027220249176025
seed,2026,sparse_lasso_n10,type1_error,100,,,,0.01,-0.04,1,100,66.94848585128784
seed,2026,sparse_lasso_n10,type1_error,300,,,,0.04666666666666667,-0.003333333333333334,14,300,229.972736120224
seed,2026,sparse_lasso_n10,type1_error,500,,,,0.062,0.011999999999999997,31,500,344.8727378845215
seed,2026,sparse_lasso_n10,type1_error,1000,,,,0.062,0.011999999999999997,62,1000,697.9265038967133
seed,2026,sparse_lasso_n10,type1_error,2000,,,,0.0475,-0.0025000000000000022,95,2000,1363.6432480812073
seed,2026,sparse_lasso_n10,power,500,0.05,0.05,0.05000000000000002,0.052,,26,500,353.3417420387268
seed,2026,sparse_lasso_n10,power,500,0.1,0.1,0.10000000000000003,0.062,,31,500,333.8127601146698
seed,2026,sparse_lasso_n10,power,500,0.15,0.15,0.15,0.086,,43,500,321.7146770954132
seed,2026,sparse_lasso_n10,power,500,0.2,0.2,0.20000000000000007,0.148,,74,500,328.91781973838806
seed,2026,sparse_lasso_n10,power,500,0.3,0.3,0.3,0.388,,194,500,334.5953221321106
seed,2026,sparse_lasso_n10,power,500,0.5,0.5,0.49999999999999994,0.982,,491,500,325.36124897003174
seed,2026,sparse_lasso_n20,type1_error,50,,,,0.06,0.009999999999999995,3,50,69.56229996681213
seed,2026,sparse_lasso_n20,type1_error,100,,,,0.03,-0.020000000000000004,3,100,132.56908130645752
seed,2026,sparse_lasso_n20,type1_error,300,,,,0.05,0.0,15,300,469.65711879730225
seed,2026,sparse_lasso_n20,type1_error,500,,,,0.056,0.005999999999999998,28,500,730.6709699630737
seed,2026,sparse_lasso_n20,type1_error,1000,,,,0.055,0.0049999999999999975,55,1000,1301.7530312538147
seed,2026,sparse_lasso_n20,type1_error,2000,,,,0.059,0.008999999999999994,118,2000,2671.3540387153625
seed,2026,sparse_lasso_n20,power,500,0.05,0.05,0.05,0.06,,30,500,737.1678059101105
seed,2026,sparse_lasso_n20,power,500,0.1,0.1,0.1,0.054,,27,500,777.6655349731445
seed,2026,sparse_lasso_n20,power,500,0.15,0.15,0.15,0.104,,52,500,718.4782791137695
seed,2026,sparse_lasso_n20,power,500,0.2,0.2,0.2,0.102,,51,500,700.1099889278412
