scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,rejections_total,effective_iterations_total,mc_se_pooled,ci95_low,ci95_high,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_f_n20,type1_error,1000,,,,0.057,0.006999999999999999,0.006999999999999999,57.0,1000.0,114,2000,0.00518415856238985,0.046839049217715895,0.06716095078228411,0.47745347023010254,2,,
aggregate,,baseline_ols_f_n20,type1_error,2000,,,,0.04825,0.002250000000000002,-0.0017500000000000016,96.5,2000.0,193,4000,0.0033882863478460613,0.04160895875822172,0.05489104124177828,0.9622483253479004,2,,
aggregate,,baseline_ols_f_n20,power,500,0.05,0.05,,0.062,0.008000000000000004,,31.0,500.0,,,,,,0.24078989028930664,2,0.05,0.050000000000000044
aggregate,,baseline_ols_f_n20,power,500,0.1,0.1,,0.101,0.035,,50.5,500.0,,,,,,0.23552346229553223,2,0.1,0.10000000000000009
aggregate,,baseline_ols_f_n20,power,500,0.15,0.15,,0.186,0.11,,93.0,500.0,,,,,,0.24800384044647217,2,0.15,0.15000000000000008
aggregate,,baseline_ols_f_n20,power,500,0.2,0.2,,0.384,0.27,,192.0,500.0,,,,,,0.2533608675003052,2,0.2,0.20000000000000012
aggregate,,baseline_ols_f_n20,power,500,0.3,0.3,,0.624,0.374,,312.0,500.0,,,,,,0.24548888206481934,2,0.3,0.3000000000000001
aggregate,,baseline_ols_f_n20,power,500,0.5,0.5,,0.9339999999999999,0.066,,467.0,500.0,,,,,,0.24006259441375732,2,0.5,0.43225
aggregate,,sparse_lasso_n5,type1_error,50,,,,0.05,0.030000000000000002,-1.734723475976807e-18,2.5,50.0,5,100,0.021794494717703367,0.007282790353301406,0.0927172096466986,18.630566596984863,2,,
aggregate,,sparse_lasso_n5,type1_error,100,,,,0.045,0.005000000000000001,-0.005000000000000001,4.5,100.0,9,200,0.014658615214269049,0.016269114180032664,0.07373088581996734,34.8335165977478,2,,
